,city,status,date,lat,lon
157,Подгайцы,rescued,1944-07-21,49.26667,25.13333
158,Приекуле,occupied,1941-06-27,56.44722,21.59333
159,Приекуле,rescued,1945-05-09,56.44722,21.59333
160,Приекуле,occupied,1941-06-23,56.44722,21.59333
161,Приекуле,rescued,1944-07-22,56.44722,21.59333
162,Радомышль,occupied,1941-07-20,50.49472,29.23333
163,Радомышль,rescued,1943-11-11,50.49472,29.23333
164,Радомышль,occupied,1943-12-13,50.49472,29.23333
165,Радомышль,rescued,1943-12-26,50.49472,29.23333
166,Расейняй,occupied,1941-06-23,55.36667,23.11667
167,Расейняй,rescued,1944-08-09,55.36667,23.11667
168,Расейняй,occupied,1944-08-15,55.36667,23.11667
169,Расейняй,rescued,1944-10-07,55.36667,23.11667
170,Рогачев,occupied,1941-07-03,53.1,30.05
171,Рогачев,rescued,1941-07-13,53.1,30.05
172,Рогачев,occupied,1941-08-14,53.1,30.05
173,Рогачев,rescued,1944-02-24,53.1,30.05
174,Ростов-на-Дону,occupied,1941-11-21,47.1426,39.4238
175,Ростов-на-Дону,rescued,1941-11-29,47.1426,39.4238
176,Ростов-на-Дону,occupied,1942-07-24,47.1426,39.4238
177,Ростов-на-Дону,rescued,1943-02-14,47.1426,39.4238
178,Севск,occupied,1941-10-01,52.15,34.49389
179,Севск,rescued,1943-03-02,52.15,34.49389
180,Севск,occupied,1943-03-27,52.15,34.49389
181,Севск,rescued,1943-08-27,52.15,34.49389
182,Сквира,occupied,1941-07-14,49.73333,29.68333
183,Сквира,rescued,1943-12-29,49.73333,29.68333
184,Сквира,occupied,1941-07-14,49.73333,29.68333
185,Сквира,rescued,1944-08-09,49.73333,29.68333
188,Славянск,occupied,1941-10-28,48.87,37.625
189,Славянск,rescued,1943-02-17,48.87,37.625
190,Славянск,occupied,1943-03-01,48.87,37.625
191,Славянск,rescued,1943-09-06,48.87,37.625
192,Сольцы,occupied,1941-07-13,58.11667,30.31667
193,Сольцы,rescued,1941-07-16,58.11667,30.31667
194,Сольцы,occupied,1941-07-22,58.11667,30.31667
195,Сольцы,rescued,1944-02-21,58.11667,30.31667
